,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
11,Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.8170731707317,70.9731707317073,70.9424390243903,70.91170731707321,70.88097560975609,70.850243902439,70.819512195122,70.8692682926829,70.9190243902439,70.9687804878049,71.01853658536591,71.0682926829268,71.4575609756098,71.84682926829271,72.2360975609756,72.6253658536586,73.01463414634149,73.34439024390241,73.6741463414634,74.00390243902442,74.3336585365854,74.66341463414629,74.9048780487805,75.14634146341459,75.3878048780488,75.62926829268291,75.87073170731709,76.1517073170732,76.4326829268293,76.71365853658541,76.9946341463415,77.2756097560976,77.37804878048779,77.87804878048779,77.87804878048779,77.82926829268291,78.07804878048779,78.4804878048781,78.63170731707321,78.9317073170732,79.2341463414634,79.6341463414634,79.9365853658537,80.2390243902439,80.490243902439,80.84146341463409,81.0414634146342,81.2926829268293,81.39512195121951,81.54390243902441,81.6951219512195
12,Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.5856097560976,69.5773170731707,69.309512195122,69.4436585365854,69.92195121951221,69.7221951219512,70.0458536585366,69.9178048780488,70.0575609756098,69.8331707317073,69.9146341463415,70.1146341463415,70.4634146341463,71.01463414634149,71.0121951219512,71.1146341463415,71.5658536585366,71.9146341463415,72.0121951219512,72.3121951219512,72.4634146341463,72.8121951219512,72.9609756097561,73.0121951219512,73.6121951219512,73.81463414634149,74.3170731707317,74.7682926829268,75.21707317073171,75.2658536585366,75.56829268292691,75.6170731707317,75.8170731707317,76.0682926829268,76.41951219512201,76.6682926829268,76.87073170731709,77.319512195122,77.67073170731709,77.87560975609759,78.12682926829271,78.57560975609759,78.6780487804878,78.63170731707321,79.1804878048781,79.3317073170732,79.88048780487809,80.1804878048781,80.4317073170732,80.3317073170732,80.58048780487809
13,Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.035,61.257,61.47,61.678999999999995,61.89,62.104,62.321999999999996,62.538999999999994,62.751000000000005,62.953,63.141000000000005,63.31,63.457,63.583,63.688,63.776,63.852,63.922,63.992,64.069,64.161,64.28,64.42399999999999,64.587,64.759,64.913,65.016,65.053,65.021,64.935,64.827,64.745,64.73100000000001,64.81,64.991,65.256,65.57300000000001,65.899,66.207,66.491,66.763,67.054,67.391,67.791,68.249,68.75,69.26899999999999,69.774,70.238,70.646,70.987
14,Burundi,BDI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,41.281000000000006,41.592,41.907,42.225,42.54,42.838,43.103,43.328,43.515,43.675,43.82899999999999,44.006,44.232,44.516999999999996,44.865,45.266000000000005,45.701,46.141000000000005,46.562,46.953,47.31399999999999,47.657,47.992,48.317,48.618,48.845,48.941,48.88399999999999,48.684,48.379,48.053000000000004,47.816,47.751999999999995,47.911,48.295,48.86,49.526,50.18600000000001,50.758,51.213,51.545,51.778999999999996,51.977,52.19,52.437,52.735,53.09,53.492,53.926,54.386,54.861000000000004
15,Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.70195121951221,70.52097560975609,70.21951219512201,70.0514634146342,70.75512195121951,70.6253658536586,70.70634146341459,71.0129268292683,70.6931707317073,70.7648780487805,70.9719512195122,71.0604878048781,71.4051219512195,71.63536585365858,71.9858536585366,71.97121951219509,72.119756097561,72.77390243902441,72.6980487804878,73.1936585365854,73.2070731707317,73.6217073170732,73.8880487804878,73.86902439024391,74.4048780487805,74.520243902439,74.7317073170732,75.3658536585366,75.5658536585366,75.6326829268293,76.0519512195122,76.1921951219512,76.35121951219509,76.3453658536585,76.6917073170732,76.84073170731709,77.1873170731707,77.37073170731709,77.4731707317073,77.619512195122,77.7219512195122,77.9731707317073,78.07560975609759,78.12926829268291,78.87804878048779,78.9804878048781,79.380487804878,79.78292682926829,79.6804878048781,80.0341463414634,80.1829268292683
16,Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,37.271,37.727,38.188,38.655,39.13,39.615,40.109,40.61,41.117,41.63,42.152,42.684,43.229,43.781000000000006,44.336999999999996,44.882,45.398999999999994,45.883,46.335,46.763999999999996,47.19,47.643,48.145,48.71,49.339,50.034,50.79,51.581,52.372,53.132,53.812,54.36600000000001,54.776,55.042,55.174,55.203,55.17,55.133,55.138999999999996,55.218,55.391000000000005,55.668,56.025,56.43600000000001,56.887,57.355,57.817,58.255,58.653999999999996,59.00899999999999,59.318999999999996
17,Burkina Faso,BFA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,34.431999999999995,34.897,35.369,35.847,36.330999999999996,36.815,37.291,37.754,38.207,38.652,39.095,39.542,40.003,40.493,41.025,41.63,42.343,43.166000000000004,44.081,45.06,46.049,46.983999999999995,47.81,48.486000000000004,48.992,49.323,49.492,49.55,49.545,49.505,49.45399999999999,49.409,49.373999999999995,49.36,49.38,49.445,49.556999999999995,49.713,49.913999999999994,50.168,50.489,50.893,51.38399999999999,51.956,52.602,53.31,54.063,54.841,55.618,56.376000000000005,57.096000000000004
18,Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,45.831,46.46,47.086000000000006,47.693999999999996,48.257,48.69,48.895,48.838,48.535,48.05,47.523,47.136,47.031000000000006,47.291000000000004,47.925,48.865,49.981,51.098,52.082,52.878,53.478,53.917,54.292,54.678000000000004,55.102,55.578,56.102,56.653999999999996,57.22,57.8,58.401,59.033,59.7,60.4,61.126999999999995,61.868,62.61,63.338,64.038,64.702,65.324,65.903,66.44800000000001,66.965,67.46,67.937,68.403,68.861,69.312,69.759,70.19800000000001
19,Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.2475609756098,70.1956097560976,69.4919512195122,70.3092682926829,71.1212195121951,71.29390243902441,71.22341463414641,70.41390243902441,71.2251219512195,70.43,71.25634146341459,70.87365853658541,70.899512195122,71.34219512195119,71.2080487804878,71.049756097561,71.3948780487805,70.81609756097559,71.1846341463415,71.3082926829268,71.1575609756098,71.5719512195122,71.1860975609756,71.3863414634146,71.49975609756099,71.2280487804878,71.73073170731709,71.5268292682927,71.6043902439024,71.7224390243903,71.6414634146342,71.5609756097561,71.4943902439024,71.34682926829271,71.20878048780492,71.0534146341464,70.8973170731707,70.3512195121951,71.0609756097561,71.4121951219512,71.66341463414629,71.7682926829268,71.8658536585366,72.0658536585366,72.5634146341463,72.5609756097561,72.6121951219512,72.66341463414629,72.9634146341463,73.4121951219512,73.5121951219512
20,Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.868,53.233999999999995,54.589,55.91,57.181000000000004,58.387,59.523,60.595,61.608000000000004,62.559,63.448,64.274,65.042,65.757,66.421,67.04,67.616,68.152,68.65100000000001,69.117,69.55,69.95,70.316,70.65,70.956,71.237,71.495,71.735,71.962,72.179,72.39,72.598,72.803,73.006,73.209,73.413,73.619,73.82600000000001,74.033,74.23899999999999,74.44,74.635,74.822,74.999,75.167,75.32600000000001,75.47800000000001,75.625,75.77,75.913,76.056
